acc_train=0.0003149932964597732,acc_loss=2.634768486022949,val_acc=0.00045896739973445714,val_loss=9.702135801315308
acc_train=0.00042037094822415635,acc_loss=10.220807075500488,val_acc=0.014257836086596011,val_loss=2.956463538110256
acc_train=0.0167857801445102,acc_loss=3.015953540802002,val_acc=0.010880635521016594,val_loss=2.2214628756046295
acc_train=0.012426342833485322,acc_loss=2.2109639644622803,val_acc=0.015583577700935576,val_loss=2.2203269824385643
acc_train=0.012427448908356587,acc_loss=2.2318971157073975,val_acc=0.010239968587221423,val_loss=2.21781525015831
acc_train=0.015245465206977806,acc_loss=2.2159440517425537,val_acc=0.011116741565412102,val_loss=2.2159215807914734
acc_train=0.009212431757779834,acc_loss=2.220755100250244,val_acc=0.010803614454216074,val_loss=2.213960163295269
acc_train=0.008916723527991924,acc_loss=2.214211940765381,val_acc=0.010542521011694278,val_loss=2.212251514196396
acc_train=0.008357072394887014,acc_loss=2.216844320297241,val_acc=0.010500116433822091,val_loss=2.211126059293747
acc_train=0.014204486261006058,acc_loss=2.220566987991333,val_acc=0.010468917984493169,val_loss=2.2094427347183228
acc_train=0.008846267557665077,acc_loss=2.209146022796631,val_acc=0.010496834796764342,val_loss=2.207318015396595
acc_train=0.009030220308023008,acc_loss=2.2013943195343018,val_acc=0.010984168026562175,val_loss=2.2053604647517204
acc_train=0.0151475397519857,acc_loss=2.2155544757843018,val_acc=0.011375176772788811,val_loss=2.20383121073246
acc_train=0.010933625104553578,acc_loss=2.2183783054351807,val_acc=0.010660223947430603,val_loss=2.202468104660511
acc_train=0.019583922491185776,acc_loss=2.200221300125122,val_acc=0.011095214712694555,val_loss=2.2010850980877876
acc_train=0.012786047393052925,acc_loss=2.2034912109375,val_acc=0.014051223428968888,val_loss=2.2006035149097443
acc_train=0.01569479417417636,acc_loss=2.2015128135681152,val_acc=0.015609717241656967,val_loss=2.197365552186966
acc_train=0.011113901307581893,acc_loss=2.200777769088745,val_acc=0.017580420746168543,val_loss=2.1935918778181076
acc_train=0.012818709121428136,acc_loss=2.2098870277404785,val_acc=0.016816812008456257,val_loss=2.1895520985126495
acc_train=0.014452703288086935,acc_loss=2.1954689025878906,val_acc=0.016768211396534484,val_loss=2.165159322321415
acc_train=0.013834928199661022,acc_loss=2.175736665725708,val_acc=0.0077793643609692185,val_loss=2.0607073977589607
acc_train=0.008940585010993117,acc_loss=2.0674185752868652,val_acc=0.007353451897742662,val_loss=1.8855887539684772
acc_train=0.006996923055753,acc_loss=1.9716722965240479,val_acc=0.007593385804076073,val_loss=1.8012524135410786
acc_train=0.0078035143555722185,acc_loss=1.7770143747329712,val_acc=0.004588740072749091,val_loss=1.6566398330032825
acc_train=0.004262206358858057,acc_loss=1.5988447666168213,val_acc=0.0014715380464292989,val_loss=1.6787877604365349
acc_train=0.0012940359490009714,acc_loss=1.7026348114013672,val_acc=0.014003045583054716,val_loss=2.4196873605251312
acc_train=0.009850053546441313,acc_loss=2.702547788619995,val_acc=0.011120973621272002,val_loss=2.188882350921631
acc_train=0.009334972577652615,acc_loss=2.184457778930664,val_acc=0.011674077057937432,val_loss=2.1868848651647568
acc_train=0.011848144899207068,acc_loss=2.199436664581299,val_acc=0.013115329896536822,val_loss=2.1850642412900925
acc_train=0.013478006068765416,acc_loss=2.1887989044189453,val_acc=0.013586523439543904,val_loss=2.1836008951067924
acc_train=0.011425497605359007,acc_loss=2.182615041732788,val_acc=0.013960052955260774,val_loss=2.180989645421505
acc_train=0.010037982863737057,acc_loss=2.1886909008026123,val_acc=0.014483591791207399,val_loss=2.1780899465084076
acc_train=0.010567768563430448,acc_loss=2.182328462600708,val_acc=0.01441149981911249,val_loss=2.1481525227427483
acc_train=0.02086629473072276,acc_loss=2.1413354873657227,val_acc=0.007555364951369637,val_loss=2.05862882360816
acc_train=0.006863733566773562,acc_loss=2.115709066390991,val_acc=0.005717503821208671,val_loss=2.1560385301709175
acc_train=0.008638064746729587,acc_loss=2.146761894226074,val_acc=5.362266629251909e-05,val_loss=2.240400157868862
acc_train=2.5780857043343033e-06,acc_loss=2.344101905822754,val_acc=0.02180280302461452,val_loss=2.186534881591797
acc_train=0.02673679791737253,acc_loss=2.1889147758483887,val_acc=0.015815397253112998,val_loss=2.1747854351997375
acc_train=0.01722551570434107,acc_loss=2.175081253051758,val_acc=0.015522174778608504,val_loss=2.1732962280511856
acc_train=0.014475467737051273,acc_loss=2.1771883964538574,val_acc=0.015083999583662052,val_loss=2.1713316291570663
acc_train=0.014710032890472001,acc_loss=2.177507162094116,val_acc=0.014659803306277348,val_loss=2.170141763985157
acc_train=0.01313302769125124,acc_loss=2.182985782623291,val_acc=0.014547426913594962,val_loss=2.1685465201735497
acc_train=0.013753538000635881,acc_loss=2.1692044734954834,val_acc=0.014183020494425765,val_loss=2.1670257821679115
acc_train=0.010289941994367623,acc_loss=2.1775431632995605,val_acc=0.01445262982655281,val_loss=2.164816625416279
acc_train=0.010855733276795936,acc_loss=2.1715087890625,val_acc=0.014188800197887506,val_loss=2.164117954671383
acc_train=0.006469570790935519,acc_loss=2.1725211143493652,val_acc=0.014284121085623335,val_loss=2.162328749895096
